,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
0,karkal,306.15,55.0,20.0,3.09,13.2,74.9833
1,new norfolk,293.82,45.0,0.0,0.89,-42.7826,147.0587
2,kavaratti,302.06,65.0,48.0,3.3,10.5669,72.642
3,hamilton,276.52,70.0,90.0,10.8,39.1834,-84.5333
4,hay river,269.15,74.0,100.0,1.54,60.8156,-115.7999
5,east london,294.15,78.0,75.0,8.23,-33.0153,27.9116
6,douglas,274.17,75.0,1.0,1.76,41.3,-96.167
7,punta arenas,282.09,81.0,20.0,5.66,-53.15,-70.9167
8,bethel,275.09,70.0,90.0,4.63,41.3712,-73.414
9,hithadhoo,301.21,73.0,100.0,4.6,-0.6,73.0833
10,nome,248.05,70.0,1.0,2.06,64.5011,-165.4064
11,kibala,299.15,65.0,0.0,2.06,9.1104,18.3463
12,tuktoyaktuk,246.6,100.0,99.0,4.11,69.4541,-133.0374
13,acari,294.92,86.0,100.0,0.85,-15.4311,-74.6158
15,carnarvon,307.15,27.0,0.0,6.17,-24.8667,113.6333
16,constitucion,284.11,86.0,0.0,1.51,-35.3333,-72.4167
17,arraial do cabo,297.36,88.0,4.0,7.19,-22.9661,-42.0278
18,port alfred,294.97,77.0,100.0,8.9,-33.5906,26.891
19,ushuaia,280.15,70.0,75.0,3.09,-54.8,-68.3
20,tukrah,290.74,49.0,6.0,3.44,32.5341,20.5791
21,samarai,302.4,68.0,10.0,3.22,-10.6167,150.6667
23,albany,271.93,46.0,100.0,0.89,42.6001,-73.9662
24,rikitea,299.93,78.0,100.0,7.49,-23.1203,-134.9692
25,esperance,304.15,23.0,0.0,1.54,-33.8667,121.9
26,kaka,291.77,54.0,100.0,8.28,37.3482,59.6143
27,hobart,294.3,46.0,20.0,5.14,-42.8794,147.3294
28,sinnamary,296.95,84.0,54.0,3.65,5.3833,-52.95
29,labuhan,302.9,74.0,10.0,5.03,-6.8844,112.2051
30,brae,280.15,93.0,75.0,3.6,60.3964,-1.353
31,uglovskoye,270.28,78.0,0.0,5.63,51.3557,80.1942
33,boa vista,298.15,73.0,0.0,3.09,2.8197,-60.6733
34,bubaque,297.42,65.0,0.0,3.99,11.2833,-15.8333
35,kapaa,293.58,73.0,90.0,9.26,22.0752,-159.319
36,butaritari,300.87,77.0,0.0,4.63,3.0707,172.7902
