,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,285.93,83.0,93.0,0.89,NZ,1616171695.0
1,ushuaia,-54.8,-68.3,284.15,62.0,40.0,5.66,AR,1616171695.0
2,wanning,18.8003,110.3967,296.26,95.0,15.0,2.66,CN,1616171696.0
3,palabuhanratu,,,,,,,,
4,atuona,-9.8,-139.0333,299.87,77.0,48.0,6.03,PF,1616171696.0
5,san policarpo,12.1791,125.5072,300.14,77.0,49.0,3.39,PH,1616171697.0
6,tasiilaq,65.6145,-37.6368,272.15,74.0,1.0,4.63,GL,1616171697.0
7,puerto ayora,-0.7393,-90.3518,301.01,78.0,20.0,4.12,EC,1616171698.0
8,altay,47.8667,88.1167,262.32,45.0,0.0,2.35,CN,1616171698.0
9,pemba,-12.974,40.5178,301.58,78.0,75.0,3.09,MZ,1616171699.0
10,portland,45.5234,-122.6762,281.97,57.0,75.0,4.12,US,1616171549.0
11,nizhnevartovsk,60.9344,76.5531,272.15,55.0,0.0,4.0,RU,1616171699.0
12,red bluff,40.1785,-122.2358,283.76,82.0,90.0,3.6,US,1616171646.0
13,hobart,-42.8794,147.3294,285.7,88.0,75.0,2.57,AU,1616171431.0
14,najran,17.4924,44.1277,302.15,13.0,0.0,4.12,SA,1616171701.0
15,temaraia,,,,,,,,
16,kutum,14.2,24.6667,301.18,12.0,52.0,5.1,SD,1616171703.0
17,toora-khem,52.4675,96.11,259.71,90.0,13.0,0.68,RU,1616171703.0
18,rikitea,-23.1203,-134.9692,300.0,76.0,100.0,5.68,PF,1616171704.0
19,mar del plata,-38.0023,-57.5575,293.15,49.0,0.0,6.17,AR,1616171704.0
20,leningradskiy,69.3833,178.4167,242.57,84.0,15.0,0.69,RU,1616171705.0
21,pringsewu,-5.3582,104.9744,296.95,94.0,92.0,2.73,ID,1616171706.0
22,yeniseysk,58.4497,92.1703,269.26,91.0,100.0,4.23,RU,1616171592.0
23,faya,18.3851,42.4509,292.65,77.0,0.0,2.57,SA,1616171706.0
24,castro,-24.7911,-50.0119,296.22,79.0,57.0,3.37,BR,1616171707.0
25,port alfred,-33.5906,26.891,293.18,83.0,98.0,6.3,ZA,1616171707.0
26,yellowknife,62.456,-114.3525,266.17,73.0,75.0,4.63,CA,1616171708.0
27,uelzen,52.9667,10.5667,275.75,48.0,40.0,8.23,DE,1616171708.0
28,grand-santi,4.25,-54.3833,306.25,38.0,61.0,1.69,GF,1616171708.0
29,souillac,-20.5167,57.5167,299.15,78.0,40.0,3.09,MU,1616171709.0
30,laguna,38.421,-121.4238,284.81,93.0,90.0,1.54,US,1616171710.0
31,iquique,-20.2208,-70.1431,294.15,64.0,0.0,4.12,CL,1616171710.0
32,georgetown,5.4112,100.3354,299.99,57.0,20.0,1.54,MY,1616171711.0
33,tura,25.5198,90.2201,296.79,23.0,41.0,1.41,IN,1616171711.0
34,hilo,19.7297,-155.09,290.43,82.0,75.0,2.06,US,1616171627.0
35,pyaozerskiy,65.8333,31.1667,264.5,88.0,66.0,4.16,RU,1616171712.0
36,ayr,55.4627,-4.6339,284.15,71.0,0.0,4.63,GB,1616171712.0
37,nikolskoye,59.7035,30.7861,266.67,58.0,40.0,3.0,RU,1616171713.0
38,clyde river,70.4692,-68.5914,246.15,69.0,20.0,1.54,CA,1616171713.0
39,punta arenas,-53.15,-70.9167,282.09,87.0,90.0,5.66,CL,1616171629.0
40,djambala,-2.5447,14.7533,297.23,73.0,64.0,1.68,CG,1616171714.0
41,necochea,-38.5473,-58.7368,294.82,50.0,0.0,2.24,AR,1616171714.0
42,armacao dos buzios,,,,,,,,
43,saint-pierre,-21.3393,55.4781,297.92,78.0,90.0,7.72,RE,1616171715.0
44,dumas,35.8656,-101.9732,279.42,65.0,1.0,3.09,US,1616171715.0
45,grand river south east,,,,,,,,
46,airai,-8.9266,125.4092,288.59,90.0,78.0,0.95,TL,1616171716.0
47,dikson,73.5069,80.5464,237.71,92.0,0.0,2.09,RU,1616171717.0
48,machinga,-15.1685,35.3,294.4,94.0,90.0,1.33,MW,1616171717.0
49,rio grande,-32.035,-52.0986,297.15,60.0,75.0,3.6,BR,1616171717.0
50,new norfolk,-42.7826,147.0587,284.63,71.0,0.0,0.76,AU,1616171718.0
51,avarua,-21.2078,-159.775,298.15,88.0,90.0,1.54,CK,1616171718.0
52,cayenne,4.9333,-52.3333,302.94,55.0,40.0,5.66,GF,1616171719.0
53,balgazyn,51.0,95.2,260.25,84.0,0.0,1.21,RU,1616171719.0
54,thompson,55.7435,-97.8558,277.15,60.0,20.0,3.09,CA,1616171552.0
55,seoul,37.5683,126.9778,285.79,66.0,60.0,1.54,KR,1616171489.0
56,jamestown,42.097,-79.2353,273.29,43.0,1.0,6.53,US,1616171720.0
57,sorland,67.667,12.6934,279.15,70.0,75.0,7.72,NO,1616171721.0
58,ranong,9.9658,98.6348,298.29,87.0,20.0,1.38,TH,1616171721.0
59,port elizabeth,-33.918,25.5701,293.15,73.0,90.0,4.12,ZA,1616171722.0
60,inuvik,68.3499,-133.7218,245.66,76.0,100.0,1.54,CA,1616171722.0
61,busselton,-33.65,115.3333,290.93,82.0,89.0,3.09,AU,1616171658.0
62,touros,-5.1989,-35.4608,303.15,58.0,40.0,6.69,BR,1616171723.0
63,ourossogui,15.6064,-13.3211,313.15,16.0,0.0,2.06,SN,1616171723.0
64,tiznit,29.5833,-9.5,287.53,67.0,75.0,7.97,MA,1616171724.0
65,orlik,52.5178,99.825,253.31,83.0,16.0,1.39,RU,1616171724.0
66,norsup,-16.0667,167.3833,299.59,83.0,93.0,4.42,VU,1616171725.0
67,orsha,54.5153,30.4053,273.15,69.0,40.0,2.0,BY,1616171725.0
68,vila franca do campo,37.7167,-25.4333,290.15,72.0,20.0,5.14,PT,1616171726.0
69,aykhal,66.0,111.5,247.25,96.0,90.0,3.74,RU,1616171726.0
70,doljo,9.5875,123.7303,301.15,78.0,40.0,2.06,PH,1616171727.0
71,kahului,20.8947,-156.47,291.89,68.0,1.0,5.14,US,1616171727.0
72,kropotkin,45.4375,40.5756,279.39,86.0,98.0,6.83,RU,1616171728.0
73,karpuninskiy,,,,,,,,
74,nizhneyansk,,,,,,,,
75,tumannyy,,,,,,,,
76,broken hill,-31.95,141.4333,296.15,56.0,40.0,6.17,AU,1616171689.0
77,axim,4.8699,-2.2405,301.33,69.0,100.0,4.61,GH,1616171729.0
78,araouane,18.9048,-3.5265,307.96,7.0,0.0,6.66,ML,1616171730.0
79,clinton,42.587,-82.9199,277.25,33.0,1.0,7.72,US,1616171730.0
80,westport,41.1415,-73.3579,275.9,24.0,1.0,8.75,US,1616171730.0
81,yulara,-25.2406,130.9889,297.15,35.0,100.0,3.09,AU,1616171731.0
82,east london,-33.0153,27.9116,292.15,100.0,90.0,3.6,ZA,1616171731.0
83,severo-kurilsk,50.6789,156.125,270.46,89.0,100.0,7.53,RU,1616171732.0
84,barrow,71.2906,-156.7887,251.15,77.0,90.0,2.57,US,1616171732.0
85,husavik,66.0449,-17.3389,283.15,66.0,40.0,11.83,IS,1616171732.0
86,tuktoyaktuk,69.4541,-133.0374,245.15,76.0,40.0,4.63,CA,1616171733.0
87,chokurdakh,70.6333,147.9167,245.95,79.0,100.0,3.8,RU,1616171733.0
88,hermanus,-34.4187,19.2345,292.59,63.0,100.0,2.68,ZA,1616171734.0
89,sambava,-14.2667,50.1667,299.15,86.0,96.0,3.86,MG,1616171734.0
90,mahebourg,-20.4081,57.7,299.15,78.0,40.0,3.09,MU,1616171734.0
91,adrar,20.5022,-10.0711,305.76,8.0,0.0,4.27,MR,1616171735.0
92,hithadhoo,-0.6,73.0833,301.35,73.0,100.0,5.16,MV,1616171735.0
93,bredasdorp,-34.5322,20.0403,293.15,60.0,100.0,3.6,ZA,1616171735.0
94,ribeira grande,38.5167,-28.7,290.15,82.0,75.0,7.72,PT,1616171736.0
95,qaanaaq,77.484,-69.3632,251.71,74.0,100.0,1.29,GL,1616171736.0
96,naze,28.3667,129.4833,292.17,88.0,22.0,2.99,JP,1616171737.0
97,belushya guba,,,,,,,,
98,kodiak,57.79,-152.4072,263.15,57.0,1.0,3.09,US,1616171738.0
99,nsanje,-16.92,35.262,297.18,94.0,21.0,1.99,MW,1616171738.0
100,hamilton,39.1834,-84.5333,279.64,36.0,1.0,8.23,US,1616171546.0
101,iqaluit,63.7506,-68.5145,247.37,64.0,20.0,11.32,CA,1616171509.0
102,carnarvon,-24.8667,113.6333,299.15,69.0,0.0,4.63,AU,1616171739.0
103,kapaa,22.0752,-159.319,293.58,73.0,90.0,8.23,US,1616171739.0
104,albany,42.6001,-73.9662,273.4,27.0,1.0,1.79,US,1616171740.0
105,camacha,33.0833,-16.3333,289.15,59.0,75.0,6.17,PT,1616171741.0
106,knyaze-volkonskoye,48.4642,135.4567,270.15,100.0,20.0,0.99,RU,1616171741.0
107,san patricio,28.017,-97.5169,290.75,36.0,1.0,3.09,US,1616171742.0
108,olafsvik,64.8945,-23.7142,276.9,95.0,100.0,9.09,IS,1616171742.0
109,san vicente,-26.6167,-54.1333,305.3,32.0,18.0,2.15,AR,1616171742.0
110,bull savanna,17.8868,-77.5902,300.31,61.0,6.0,4.16,JM,1616171743.0
111,khatanga,71.9667,102.5,237.7,98.0,100.0,1.78,RU,1616171743.0
112,yar-sale,66.8333,70.8333,244.81,98.0,29.0,4.47,RU,1616171744.0
113,hirara,24.8,125.2833,295.19,85.0,0.0,5.4,JP,1616171744.0
114,angra dos reis,-23.0067,-44.3181,304.15,62.0,20.0,3.6,BR,1616171745.0
115,ilulissat,69.2167,-51.1,267.15,53.0,75.0,7.72,GL,1616171745.0
116,cortez,37.3489,-108.5859,281.3,49.0,1.0,3.13,US,1616171598.0
117,taolanaro,,,,,,,,
118,upernavik,72.7868,-56.1549,259.94,85.0,100.0,0.99,GL,1616171746.0
119,bengkulu,-3.8004,102.2655,298.07,88.0,100.0,1.93,ID,1616171746.0
120,nelson bay,-32.7167,152.15,293.15,100.0,75.0,5.14,AU,1616171740.0
121,fort nelson,58.8053,-122.7002,272.15,59.0,75.0,3.09,CA,1616171747.0
122,tucuma,-0.1833,-50.05,296.95,92.0,98.0,2.41,BR,1616171747.0
123,cape town,-33.9258,18.4232,292.7,60.0,20.0,8.75,ZA,1616171650.0
124,saskylakh,71.9167,114.0833,237.53,97.0,0.0,2.11,RU,1616171748.0
